Country_ISO,Control of Corruption: Estimate - WDI,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) - WDI",FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSERA - Return on assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GR_G14_GDP - Total government revenue (budgetary central government) as a proportion of GDP (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",IQ_SPI_PIL4 - Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index) - Goal 17 - Reporting Type: G - Units: INDEX - Nature: G - SDG,Labor force with advanced education (% of total working-age population with advanced education) - WDI,Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary government expenditures as a proportion of original approved budget (%) - WDI,Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
FIN,2.17175912857056,28.0847371207921,0.950566178824407,1.8188393810974302,7.83653361719762,19.619399848085596,58.09834404067149,51.550573540875995,2.0138778686523406,9.01765355032152,2.6,7.33,26.1492934094924,72.3666666666667,74.804,4.32,3.8199999999999994,13.0,48.5052477617381,43.7979404738408,84.4865203796382,7.29855234687393,93.3901320501624,6.0,108.4409,7.0,1.7791101932525597,2.0343990325927694,59.90987688924341,80012.5104189901,100.0,94.9333333333333,76.4375,72.3666666666667,100.0,1.58935248851776
FJI,0.6999512910842898,17.350440371690564,3.08925674923103,2.8036498105813097,9.93781499519495,13.814437234419,76.9744894346138,26.8050823335279,0.7747842669486996,3.80322248838358,4.07,4.96,1.80128187581206,46.4,78.06662996907879,2.31,2.41,12.0,8.75315854665753,7.75704831990295,64.6479081487554,35.2557010614802,71.6529573745235,6.0,85.8676,6.0,0.03954477235674858,0.17670877277851121,53.9248445799443,15491.7066265482,90.0,59.5,54.80625,53.8666666666667,50.0,0.1459273397922521
FRA,1.28155159950256,19.2230115180777,2.74917800998469,0.531153720420767,5.41296527913485,15.5636711535793,54.7153550674678,52.7011313812092,1.4197185039520301,25.9347849255776,3.96,6.14,7.3139101059612805,67.7166666666667,76.548,4.0,3.59,11.0,65.8786796217955,50.202773280443196,82.858230508068,5.87804801779756,84.0315568498892,5.0,100.7859,6.0,1.1474986076354998,1.3962247371673597,70.1367025071467,83946.6628645209,100.0,90.8,75.59375,66.0666666666667,100.0,1.1575254201889
FSM,0.6723132133483891,11.321188568312499,0.312830381232845,1.8008687844868403,6.01756888201231,33.2678049007012,93.61048566166481,51.2845737354035,0.16390779614448497,17.098496915511074,3.4454343980384676,2.8353928527891505,4.600552101466439,16.7833333333333,78.5171806448477,2.699680948997969,2.868048940853988,12.0,28.635293778676637,19.74437312852569,29.6169621726617,67.1522439921195,86.4685292182867,6.0,87.12672,6.0,-0.9238079190254211,0.03467718139290822,66.7645153061224,41955.246078044496,30.000000000000004,25.633333333333304,44.8625,25.4916666666667,15.0,1.12325739860535
GAB,-0.85915344953537,5.05548186952567,15.7296765322634,2.77168266350901,6.9042047793937895,12.8288818001188,62.3954105903112,16.8269072471127,-0.8265975713729858,2.99535648763002,0.8904806832591321,1.9537971974753867,7.09310277692203,13.2833333333333,75.96984724475799,2.07,1.96,11.0,73.1100545097788,5.38501336552557,46.0010186101705,30.1049313590117,62.7749463975761,5.0,91.7627,6.0,-0.8898689150810241,-0.719786107540131,41.1181969705571,19991.3128002554,40.0,23.7333333333333,40.84375,13.2833333333333,20.0,-0.9614226818084721
GBR,1.80687081813812,27.083490936573682,1.09642089877808,0.504223237770289,5.577130614916111,17.9031819012521,65.5682564945933,36.7230150968059,1.36169874668121,22.3331118559009,3.87,8.08,7.9006306140742,66.0166666666667,84.291,4.11,3.7699999999999996,11.0,68.7300154750153,43.49796397022859,83.4090760558786,7.085634879506021,78.8284576398381,6.0,96.30463816646576,5.0,1.7694232463836705,1.6031792163848901,70.7503687442985,85072.5373012296,100.0,86.8,74.78125,64.3666666666667,90.0,1.3817093372344997
GEO,0.7248167991638179,34.8497581481934,2.67886834382407,2.81124849175457,11.550321486815498,13.518585615410903,79.5442949289105,28.6179104988372,0.5181335210800172,2.88677086815774,0.45,5.07,1.88314358280982,51.7833333333333,72.104,2.26,2.42,12.0,30.9467058400642,12.780508811262402,45.3131812905126,6.192534194714791,51.2472195674644,6.0,100.4181,6.0,1.0319906473159797,0.27051076292991616,58.3496101291489,14756.2272185408,100.0,86.4666666666667,73.98125,68.4666666666667,65.0,0.2290464937686919
GHA,-0.13836362957954393,9.505228218270267,18.1871529944043,3.5350468506168298,12.2867438475838,20.9751391001988,63.9808970582603,15.437031332702201,-0.31994709372520386,8.30535420920506,0.26,2.39,1.11063014196318,33.6,76.9304457453661,2.57,2.45,12.0,15.2038975509901,10.8410417212656,41.3659955619653,19.8588906385915,50.7463143206966,6.0,95.6065,6.0,-0.141936391592026,0.051087148487567714,43.6785254609153,4198.23443845931,90.0,61.2666666666667,66.0,54.449999999999996,40.0,0.557817578315735
GIN,-1.06008899211884,6.21000003814697,11.5550664603898,3.2346797243911296,8.67771279722118,15.0878206798401,64.37690912487957,16.021329248874288,-1.02549612522125,6.653000390013838,5.1381934318790226,5.975037025436701,21.4434214434214,20.9083333333333,77.13324720264329,2.7000000000000006,2.45,13.0,32.036549341373174,21.95997585026124,29.445648291639404,13.568567069431698,65.8139163054369,6.0,97.27400045742851,7.0,-0.8064092397689822,-1.2317943572998,35.073938251438,3386.86460221601,66.6,61.400000000000006,55.93125,25.075,5.0,-0.769156455993652
GMB,-0.5020518898963929,1.39770996570587,3.15265862122247,2.6760797768456794,14.8611059021713,30.2774153613665,44.2840064115113,18.4888208507375,-0.7513733506202699,1.74152996206824,0.06,0.58,4.30263661640245,32.7166666666667,78.154,2.81,2.08,13.0,8.29261210239036,3.89840880466841,14.854285607406,16.7978068292544,23.5951101671373,6.0,95.58569826371901,7.0,-0.673881351947784,-0.45575711131095903,54.9037669522881,2551.23682542869,70.0,61.8666666666667,64.6875,41.05,25.0,-0.2155905216932299
