Country_ISO,Control of Corruption: Estimate - WDI,FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKNL - Non-performing loans net of provisions to capital (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added (annual % growth) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
BEN,-0.665382146835327,7.404540337165925,8.305810686160275,22.789029979030456,15.270794478044905,92.2508445456537,-0.609903872013092,2.7118477961166634,0.03,1.95,8.749168686847012,3.07,2.38,12.0,13.292362739644654,17.901591470993985,10.6515379667367,18.158830853103,49.4895112729381,6.000000000000001,6.0,-0.40174999833107006,-0.673685908317566,44.5474397323122,2.4291252837945296,2918.54613337509,30.0,52.23125,0.3144891262054441
BFA,-0.35688522458076494,7.551539829090044,9.027387110204241,12.069756775850363,16.16680221811988,52.2722610998286,-0.589095711708069,16.5832281418902,0.03,2.64,17.7167780780354,2.77,2.22,12.0,20.763066372755198,13.050145983031939,75.6729980148039,0.3658079194453,45.0997813183021,6.000000000000001,6.0,-0.20837211608886674,-0.194905057549477,42.120724852489,2.66426908760782,2360.56964031735,40.0,70.54375,-0.25294989347457925
BGD,-1.05408024787903,8.749523448928098,9.821418233178568,14.752599750016701,16.059219046951792,71.4707227698607,-0.7536895871162411,0.213025597821188,0.05,4.05,12.8114683999932,2.64,2.33,11.0,2.14484622004356,9.13740492095846,87.5317985195469,2.8482103316389997,44.2078096426686,5.0,6.0,-0.857593059539795,-0.8010132908821109,53.4982962820487,5.52882933845279,4221.87827425241,60.0,58.25625,-0.2680906951427462
BGR,-0.23702354729175593,11.917708763419398,10.467694350569401,28.016757788270198,15.1564348282829,51.5330184494117,-0.06532546132802952,8.40425157698357,2.47,5.64,8.80581253419115,2.96,2.5,11.0,35.4003337550898,24.6993180409175,74.49686172936,1.79192654196215,80.2274226586554,4.0,7.0,0.6804325580596919,-0.09706135839223874,59.500569647052004,7.044110660577759,15543.8571696638,60.0,63.018750000000004,0.5314825773239142
BHR,0.17931619286537204,8.482271399831196,12.111300041712749,34.8514068190708,18.840094691503374,4.31131549715473,0.4325630664825442,0.11026045503336002,0.25,2.81,18.8854683671546,3.63,3.05,12.0,1.9925047595273797,18.0153195136322,71.4198855947269,6.3643265143159296,58.1058421568681,6.000000000000001,6.0,0.7120158076286319,0.42974022030830406,54.7856196764576,6.2970675660049285,36049.6499462759,30.0,37.89375,-0.9659094214439391
BHS,1.34837675094604,8.638068625250208,8.597706043451499,45.002579042814496,14.094150440265727,64.2364243111237,1.0705143213272101,0.0017961189405769997,0.16,2.83,3.8706675929815693,2.81,2.38,11.0,53.9337813592902,27.7735162197785,84.4049184159273,0.7479176676301821,98.40103362896251,6.000000000000001,5.0,0.5489947199821469,0.716390430927277,81.1380222984698,0.5877075953443408,58917.988867988104,40.0,35.5125,0.9882095456123352
BIH,-0.3364015519618991,11.421782175376,10.2770245780125,32.8362046798663,12.6401424846097,49.1538756247136,-0.7405581474304201,2.83311798083614,0.15,2.89,7.432738128591091,2.68,2.33,11.0,22.9977288462698,14.9942643720972,74.7435919627961,0.116686605364008,76.0988030702689,5.0,6.0,-0.11947620660066613,-0.35564887523651106,55.5086584313191,1.0786484042131799,14546.177625059401,50.0,56.40625,-0.08244920521974573
BLR,-0.6334313154220579,3.5488042714301398,11.0965187240149,12.398305784379001,16.4297909330424,60.9272793861554,-1.18977093696594,3.05811242066529,0.5,2.43,8.07572936064556,2.671598125768419,2.2009777483377437,10.0,39.1722859790727,39.9816354487771,72.4822356272655,3.28009108857607,80.258272583671,4.0,6.0,-1.18830907344818,-1.07244062423706,43.4739988900999,7.219102913941968,9470.59119475582,50.0,52.09375,-1.55507206916809
BLZ,-0.02357431687414652,7.317354593890878,7.537431419510831,22.64670707125466,13.802760823349447,82.8474605234886,-0.2612442672252659,0.0,0.09,3.12,3.9384077871047998,2.7118347356269945,2.2642100639652014,11.0,0.015525534555894,18.4598161678058,80.5652240562783,0.425742604950309,58.4736854605272,6.000000000000001,5.0,-0.33560249209404,-0.2811740338802341,61.61208959419061,2.83425168497178,15307.5226779754,40.0,62.04375,0.685301244258881
BOL,-0.45864871144294705,2.14098016078259,7.68539480893566,-4.497254445839,12.3354495260506,79.37824750759016,-0.5003508329391481,8.39643426654084,0.05,3.46,8.97746212116426,2.38,2.26,12.0,3.28074143431196,11.5900459921931,38.5608098150964,3.04351482628273,37.1248067164257,6.000000000000001,6.0,-0.7973014116287229,-1.0297901630401602,43.5524305510023,5.160633398848519,5384.98267841438,60.0,72.5875,-0.039241142570972484
