Country_ISO,Control of Corruption: Estimate - WDI,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) - WDI",FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSERA - Return on assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSLS - Liquid assets to short term liabilities (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",Labor force with advanced education (% of total working-age population with advanced education) - WDI,Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,SG_STT_ODIN - Open Data Inventory (ODIN) Coverage Index - Goal 17 - Reporting Type: G - Units: INDEX - Nature: E - SDG,"Services, value added (% of GDP) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
AZE,-1.04090738296509,13.702591305135583,2.56167104838046,2.7384064570133404,8.06866792160328,60.7891456550232,-0.041207097470760186,3.9129441620027,0.07,4.54,2.66006603395474,79.53281467979045,2.8972116155575947,2.6282125321994707,10.0,44.3138450062846,17.9645850890765,77.284224421829,3.8468286499664295,46.5111398698632,4.0,6.0,-0.10334420204162605,-0.6255521774291989,55.6,32.0714593346256,11507.7957444518,80.0,69.3333333333333,70.1875,64.375,69.99999999999999,-1.44162666797638
BDI,-1.51818120479584,3.176774641333187,15.841586196904828,2.8388258878565926,9.838887639605074,78.07883465977537,-1.26360619068146,1.11792409166671,0.09999999999999999,1.91,3.96472080879955,69.66232227353689,2.2833272982162125,2.062755651560092,13.0,5.37284966871621,2.78920380915672,57.2590089328368,0.0425070561280413,48.8777781532548,6.0,7.0,-0.947485685348511,-1.27654623985291,42.1,43.48132800685211,2540.99511707627,50.0,63.1333333333333,68.70625,17.4416666666667,35.0,-1.39635360240936
BEL,1.4949735403060898,36.307492413537,1.83865174031702,0.8378203037001699,5.96857033506728,22.9417261501443,1.22718644142151,22.8179135173265,1.64,3.24,13.0128876092895,75.994,4.0,3.9000000000000004,12.0,56.4055178790615,51.225289909463,88.5346543415768,2.28854054472952,84.4703483613114,6.0,6.0,1.2529551982879596,1.34823083877563,52.6,69.470724775351,94095.6852798505,100.0,86.9333333333333,77.625,77.275,100.0,1.29709255695343
BEN,-0.08985728770494462,3.85361003875732,4.82237842126244,2.533576727849195,8.830315653048588,59.84334799823931,-0.17059023678302795,4.28715620621521,0.049999999999999996,1.58,2.83190861719931,76.049,3.2,2.7,12.0,23.227004831959402,21.08097394664883,6.139487397429651,9.58664713678886,43.9501719049686,6.0,6.0,-0.34836465120315596,-0.596109390258789,42.8,46.8939149661431,3407.85445538091,90.0,69.4,78.85625,40.4583333333333,50.0,-0.3356940150260931
BFA,-0.1116394698619841,1.55992996692657,3.200141180662877,3.1741609569883504,10.920022831367094,56.41616135873919,-0.8531486988067629,1.5289989764953,0.0,1.5019848431037677,10.5251641153989,85.167,2.2,2.0,12.0,13.396585144336209,0.259529188603816,84.1143285736118,0.12470786162503199,49.05354197576979,6.0,6.0,-0.4683056771755219,-0.6119337677955631,41.0,46.619699259479894,2825.83775076435,90.0,69.0,77.6,38.8083333333333,60.0,-0.684045016765594
BGD,-1.07575178146362,7.5711943437389,8.72436040117116,1.44058152746542,6.70479501831446,39.3935562467499,-0.763355314731598,1.1648479237277356,0.0,2.033260538367548,8.75859756021407,78.087,2.4,2.3,11.0,1.86967789554948,7.81462419149449,89.8885478835933,2.57978047117781,33.7651607035299,5.0,6.0,-0.9276589155197139,-0.6016901135444641,45.0,51.0380826788136,5765.796179294669,90.0,61.6666666666667,78.10625,61.825,60.0,-0.753301620483398
BGR,-0.15820603072643302,26.006959970184305,4.5273315980334,1.5630850207948699,9.91719665033825,38.6024146276614,-0.27123296260833707,10.3826775418569,3.31,4.8,23.213103216155,75.411,3.3,3.1,11.0,45.30828594932541,36.66087603456,74.8455243716656,2.41183300906197,72.4186134804329,4.0,7.0,0.320686906576157,-0.10792271047830604,62.9,59.8938030075942,20290.0074846502,100.0,91.3333333333333,74.51875,79.9,89.99999999999999,0.28751212358474687
BHR,0.1395203173160549,29.7800006866455,8.782168510041027,0.7888167718841341,9.9235634816319,64.7360373162691,0.6397200226783751,0.569959196315979,0.68,3.9099999999999997,9.79848400813458,75.7064457953817,3.4000000000000004,3.3,12.0,25.7925822554247,24.632572071598503,75.2233378579632,3.3989620179376,59.594101797074,6.0,6.0,0.9706335067749019,0.43830931186676014,51.2,49.2411387955769,40839.8256389666,60.00000000000001,73.7,51.7,59.4166666666667,30.0,-1.41840970516205
BHS,1.2564488649368302,23.763137276616714,17.022582741099104,0.5209276140806868,7.367281338959692,64.899709595143,0.4239504039287568,0.0,0.0,0.21,8.859876655132943,75.65222632065121,2.6,2.7,11.0,4.09339826288818,27.773516219778504,42.9742576667697,0.041920939038744,93.9087811368235,6.0,5.0,-0.14648596942424796,0.13454036414623313,32.6,80.3098555063036,55264.7811994639,80.0,27.666666666666696,46.7125,36.8666666666667,75.0,0.8723083734512332
BIH,-0.684315621852875,12.289999961853,4.53846610334628,1.5891617251327999,9.89092724347393,48.3609909073152,-1.0649607181549101,5.22474917760104,0.24,2.39,14.012972309431698,80.302,3.2,2.7,11.0,28.633148237207,16.9204680722382,78.3903975886208,0.38598443837873,65.7151671009508,5.0,6.0,-0.15761531889438588,-0.3069830834865569,48.6,54.5016857184557,18533.0265947545,70.0,63.8333333333333,68.94375,59.491666666666696,80.0,-0.3247302770614619
