Country_ISO,High-technology exports (% of manufactured exports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",Lower secondary school starting age (years) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,SG_NHR_IMPL - Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%) - Goal 16 - Reporting Type: G - Units: PERCENT - Nature: G - SDG,SG_STT_ODIN - Open Data Inventory (ODIN) Coverage Index - Goal 17 - Reporting Type: G - Units: INDEX - Nature: E - SDG,"Services, value added (% of GDP) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI
TKM,0.0,5.179308625019015,10.0,4.0,6.0,0.0,22.4,50.350636912731,1090.37546805933,60.00000000000001,5.3,54.0625,13.9083333333333,15.000000000000002
TLS,7.75918370979578,2.43709598929954,12.0,6.0,6.0,100.0,47.29999999999999,71.6305202418539,3853.79501210831,80.0,61.76666666666671,63.025,42.7916666666667,55.0
TON,9.250118648977098,0.121257840648993,12.0,6.0,6.0,0.0,46.0,59.38781093452291,24535.248741912073,80.0,62.1666666666667,68.15,60.7,45.0
TTO,0.223696636088891,2.65965224993748,12.0,6.999999999999999,5.0,0.0,47.1,59.1817694915092,31144.8384336211,70.0,68.1,67.1125,41.7083333333333,50.0
TUN,12.375422508421222,4.60032264285871,12.00000002296468,5.999999888653014,6.000000136770973,0.0,47.7,62.6074263616937,15712.2080088557,90.0,89.9666666666667,74.1125,63.2083333333333,60.00000000000001
TUR,5.13775956987065,4.21348558338901,12.000000253779563,5.999999446190813,6.000000822876329,0.0,69.7,57.5212773580131,39943.5492740801,50.0,86.4,88.35,71.99166666666669,100.0
TUV,2.5224668155556786,4.641658843173213,12.0,6.0,6.0,0.0,34.3,47.868583815832736,1090.37546805933,50.0,61.0666666666667,60.375,28.6416666666667,15.000000000000002
TZA,3.00569275084221,1.00350897434552,14.0,6.999999999999999,7.0,100.0,47.6,29.5630742231974,3368.07024757866,80.0,71.2333333333333,81.91875,52.95,55.0
UGA,1.91593833437355,2.02600219209505,12.000000348653094,5.999999724925609,6.000000637369499,100.0,52.8,43.14135811353211,3599.72883226844,70.0,71.2333333333333,72.15625,45.1083333333333,85.0
UKR,6.37028789775054,38.183813760037,10.0,4.0,6.0,100.0,62.2,60.6158989452331,19707.714070145517,100.0,55.133333333333304,81.56875,58.2833333333333,85.0
URY,9.84178975855216,20.9542462456944,12.0,6.0,6.0,100.0,52.3,65.2627436197817,32114.1987061053,100.0,85.3,70.9,69.53333333333329,75.0
USA,24.322982844202,7.87536206990779,12.0,6.0,6.0,0.0,70.4,61.32966357906383,51533.039027659135,100.0,95.0,88.36875,86.925,80.0
UZB,1.73386305963966,9.46564335753084,11.0,4.0,7.0,0.0,77.5,45.1918282895449,8626.3337469765,90.0,79.1333333333333,80.1125,68.2083333333333,90.0
VCT,7.546491689969268,1.47215932021862,11.999999906530787,6.000000237973105,5.99999966208895,0.0,40.1,66.4018742438693,20278.8031604473,50.0,66.3,55.1875,48.3083333333333,40.0
VEN,0.0,4.292707343924219,12.0,6.0,6.0,0.0,23.1,53.41523205513018,1090.37546805933,60.00000000000001,24.4,57.3125,30.575,25.0
VNM,8.182859503320769,8.733556064695069,11.0,5.0,6.0,0.0,42.9,42.3596025324624,8012.467717744751,100.0,67.6666666666667,80.3,48.224999999999994,40.0
VUT,5.6820115323110265,6.242292257580227,12.0,6.0,6.0,0.0,43.6,49.75141379742545,10032.640280085689,56.6,61.6666666666667,70.49375,43.47500000000001,35.0
WSM,76.6700641079328,8.80017540764436,11.0,6.0,5.0,100.0,49.599999999999994,69.3629975714968,25017.730238487,80.0,63.7,69.80625,50.641666666666694,50.0
YEM,0.0,4.081455233914454,11.999999688514468,5.999998884104075,6.000000814322618,0.0,38.8,41.46909746277186,1090.37546805933,46.6,28.300000000000004,66.7625,20.5166666666667,25.0
ZAF,5.70575841482322,9.47859790223546,14.0,6.999999999999999,7.0,100.0,47.6,62.9921807546005,18846.381551668,80.0,84.6333333333333,80.55625,71.24999999999999,90.0
ZMB,1.4719428559393,1.8142798026064,14.0,6.999999999999999,7.0,100.0,36.6,57.1882934058153,7129.29675088631,90.0,62.53333333333331,76.025,42.2833333333333,50.0
ZWE,2.79801736625087,3.26611744525448,12.000000101938028,6.000000053689946,6.000000050375984,100.0,39.0,50.6052960837344,6102.11236345171,100.0,66.6666666666667,67.54375,39.8,60.00000000000001
