Country_ISO,Control of Corruption: Estimate - WDI,FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GR_G14_GDP - Total government revenue (budgetary central government) as a proportion of GDP (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",IQ_SPI_PIL4 - Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index) - Goal 17 - Reporting Type: G - Units: INDEX - Nature: G - SDG,Labor force with advanced education (% of total working-age population with advanced education) - WDI,Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added (annual % growth) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
PHL,-0.5192345380783079,1.7158480385567503,8.34203634271391,12.5997289959479,74.4255199047875,17.8244629283083,0.018497331067919953,48.62121991506297,43.21,23.98,17.6042713433172,82.95,63.3,2.855944,2.608477,12.0,76.7551960270936,40.7822298366916,77.7065460481678,19.5049381296242,57.86005311504281,6.0,6.0,0.11292444914579404,-0.43153634667396495,59.50895730016901,8.174153963859577,8156.7149463353,100.0,79.4,68.86875,82.95000000000002,35.0,0.16337306797504408
PLW,0.5820537209510801,25.028747870795563,11.694237175912386,24.848374914924317,34.5015832546769,60.926947836066496,0.1981370896101001,60.4568609589853,3.02,2.93,0.10690727121085798,46.10480477776773,75.33921438257565,2.5192713320599944,2.5231770358701318,12.0,51.75799101715852,24.280787079774104,96.1193232744673,1.52175189212253,88.715999584861,6.0,6.0,0.1265721321105958,0.9325933456420901,77.1658228983353,0.19411307866748534,47432.35191027086,50.0,29.080948091707157,42.78125,43.1214317923103,15.0,1.21329510211945
PNG,-0.942301392555237,2.49975083446666,13.2607369527477,28.647973164528395,62.0710385698281,16.1221499255058,-0.7351325154304501,1.2434889534136582,0.15074859906825552,3.9183110127088,1.30883931245533,20.308333333333305,79.77080698393223,2.581374,2.55045,13.0,4.29597121268577,12.6096594406957,78.3904174909036,21.1531704225358,65.5231306735492,6.0,7.0,-0.566701650619507,-0.780058085918427,43.430656678982,2.2527487748511605,5552.10615808401,50.0,4.0,47.21875,18.6083333333333,15.0,0.1581533998250959
POL,0.7595680952072139,3.9310899666900596,9.51434312460356,15.5527207477404,49.9016327527032,38.9350902320623,0.6515060663223268,10.7154228014203,7.14,9.24,10.8776519641908,81.7416666666667,80.928,3.45602,3.2666920000000004,13.0,55.8037963129755,32.9908112308217,90.9241400459437,1.51870298636163,85.3688328009126,6.0,7.0,0.9062320590019234,0.593824148178101,55.0625951252974,3.341221287082209,27304.776639638403,100.0,60.0,66.85625,81.74166666666669,100.0,0.8442457318305968
PRK,-1.46206390857697,13.235213267619782,14.338763892040232,26.36282355031412,25.85424203911108,31.148243719480462,-1.66307282447815,15.194421353483106,0.0,3.8917305748388658,4.7966134592142735,11.5583333333333,68.46163282532395,1.5221495020868292,1.792501904197403,12.0,0.0,1.39320834574977,1.41283763164909,73.8432629333101,3.0697234449977504,5.0,7.0,-2.350102186203,-1.67456996440887,40.934744963172356,4.219064071533494,1350.29247359883,10.0,0.333333333333333,36.65,15.0333333333333,0.0,-2.18074584007263
PRT,0.8589349985122677,16.5658132039701,6.50912717272776,11.7073734237355,56.2184106234312,42.1979958153207,1.1483285427093501,5.80540001054449,3.3200000000000003,5.51,5.08445668513668,72.4666666666667,82.993,3.646236,3.3732199999999994,12.0,40.6617673646645,23.8989868891538,86.2090644594675,1.58427783557173,85.3979978618631,6.0,6.0,0.8322017192840578,1.0433328151702899,65.4115109280948,1.8117368951987098,39868.299315504,100.0,91.6333333333333,64.275,72.4666666666667,100.0,1.15758585929871
PRY,-0.763090431690216,2.94129442146301,7.9365597283097,13.3739390979188,53.4079333169133,18.9793541572281,-0.8218050599098209,7.63626798600085,0.07,15.39,0.797959315916883,45.1,85.961,2.298189,2.384127,12.0,22.8033408877703,21.8266894279604,36.9693726115239,1.21171083287554,26.7686182709754,6.0,6.0,-0.22990290820598602,-0.689654231071472,47.6296883780607,2.8130556517854903,10521.324053256902,70.0,43.1666666666667,68.51875,38.4166666666667,45.0,-0.06310137361288085
QAT,0.8633577823638918,0.469220791445101,9.653524681051923,18.22776171260334,49.717028370774194,23.246434830046205,0.7236633300781249,0.0011329077873185,0.0,5.44,4.18001774108874,60.566666666666706,74.56210694140128,3.503401,3.551227,12.0,40.9724770172642,54.1662135725441,65.4215577404135,14.416211164360101,75.5320768962198,6.0,6.0,0.683504045009613,0.7666949629783629,50.7782837381519,2.18232615217164,92195.015503998,80.0,9.3,48.38125,56.4,30.0,-1.15098774433136
ROU,-0.17865721881389596,9.621565156777,8.924362056606151,17.5455012769143,51.7902538859767,32.3337717406508,-0.06826186925172802,10.3924513925489,3.38,7.35,17.8916363849733,69.9435062823711,81.669,2.9455339999999994,3.0,11.0,60.753195019874795,40.76937332178489,83.1911432419686,2.50736581796402,83.7941770902242,5.0,6.0,0.566330015659332,0.45245349407196017,55.1153784636175,3.5157348375350197,23049.2816500935,70.0,60.575631354653396,57.26875,73.4916666666667,68.7808238636492,0.541079998016357
RUS,-0.838650405406952,9.24076995498895,8.77133393961641,9.1723865655676,47.704226971949,36.4131944809446,-0.3241057693958279,15.7901190501232,0.6,8.4,7.7082197948013205,63.8916666666667,71.342,2.615448,2.006429,11.0,29.9219602391143,28.2517611901484,60.869254754452996,11.4911269597872,55.4699217302363,4.0,7.0,-0.44319504499435397,-0.8450540900230409,57.012325152629,-0.42116739514388296,16103.6462999438,70.0,83.4,55.6625,63.84166666666669,75.0,-1.13120901584625
RWA,0.6186354160308839,7.08391549135576,14.5612325025982,19.9610461190569,51.84712718609929,26.772915104336697,0.013342768885195108,13.5312841197923,0.55,8.16,2.35244671725214,48.349999999999994,78.80728999611685,3.0400859999999996,2.9334489999999995,13.0,11.9183865872642,5.28952113804849,56.356061196159196,3.25945171164566,31.7643289051913,6.0,7.0,0.011626932770013804,0.09653212130069742,49.2882419165261,7.15424552412468,3680.74894114027,80.0,56.0333333333333,66.23125,31.6833333333333,40.0,-1.15404415130615
SAU,0.19888064265251207,1.38335895995773,14.798188937037098,17.4693040479515,9.8718445427988,20.7987742287673,0.21412265300750682,1.30537351092227,0.22000000000000003,6.48,1.7242679177154399,69.675,72.60539506282174,3.2501429999999996,2.691371,12.0,36.153171506624,37.5730623588572,59.682909305092,18.9141644717902,64.3955257722724,6.0,6.0,0.06456875801086419,0.3158196210861211,53.5509157775579,1.28106908501304,39125.0094474988,70.0,7.63333333333333,44.51875,61.3416666666667,30.0,-1.72739458084106
SDN,-1.56117486953735,13.068593706605947,11.352479165967983,16.646752599676194,68.5000507327257,9.04695307715569,-1.55974757671356,1.15970094833133,0.01,2.26,0.727271320404731,33.1916666666667,77.40663131556003,2.485154,2.234106,12.0,20.49180565129404,6.297677126427448,71.3037680588075,0.292961732781676,53.5235704386396,6.0,6.0,-1.48627293109894,-1.2815957069397,50.1460202462207,5.38050757582369,6446.23952410263,73.4,13.899999999999999,62.19375,26.5083333333333,15.0,-1.83439075946808
SEN,-0.0242784265428783,16.664289057708043,9.052147824203697,13.200001451095341,68.6743139150929,22.251345613297598,-0.5026976466178891,2.71866597279454,0.52,4.4,20.8201499598493,36.8166666666667,62.973,2.151212,2.314744,12.0,16.719428974523,25.6379667278284,35.1545735696322,6.71160046385165,52.9554576872374,6.0,6.0,-0.21080836653709392,-0.12383399903774302,51.96810428349761,7.557958564509119,4624.73541736388,90.0,45.8333333333333,62.7125,46.85,30.0,0.369231224060059
