Country_ISO,Control of Corruption: Estimate - WDI,FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSERA - Return on assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSLS - Liquid assets to short term liabilities (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",IQ_SPI_PIL4 - Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index) - Goal 17 - Reporting Type: G - Units: INDEX - Nature: G - SDG,Labor force with advanced education (% of total working-age population with advanced education) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added (annual % growth) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
PNG,-0.596797168254852,5.32612574594665,3.868091206799129,31.8993825819247,64.6510343920456,50.53216032520971,-0.8301727771759031,44.7984045910059,17.534535666239538,11.014070454475053,2.523359749324,15.6583333333333,79.38481384638123,13.0,3.50037123136752,12.6096594406957,70.7163544662698,27.9063373724572,61.20339116717221,6.0,7.0,-0.683947443962097,-0.7099184393882749,44.0310760674396,-0.17535527753871186,5851.43878290614,60.00000000000001,57.8333333333333,65.41875,13.9583333333333,25.0,0.03239448741078376
POL,0.6186715960502619,3.71722963023515,0.15930368714530982,17.4419287062157,37.348025924048,45.3462556722164,0.324195116758347,9.86616548997166,7.220000000000001,10.11,14.1493290101774,78.1916666666667,80.31999999999998,11.0,54.0517999493949,32.2754827031667,91.0022556647319,1.75509162328243,81.9725342744144,4.0,7.0,0.850681960582733,0.524749398231506,57.0960625229325,-1.55694342618861,31401.749480424296,100.0,96.2666666666667,71.74375,81.4916666666667,100.0,0.6153747439384459
PRK,-1.70288288593292,22.106401157025058,2.0714096454796826,18.55831787177598,92.43346982243764,45.7929121466447,-1.49029505252838,0.0,0.0,0.65,7.076988801726287,3.559264314412522,67.63138486490273,12.0,0.0374855712953873,0.259529188603816,4.9011911961704495,40.1949596644939,4.96444752879029,5.0,7.0,-2.37046599388123,-1.60779571533203,41.3327579237775,-1.0053669627102129,1112.70936080696,10.0,28.000775573261002,50.675,4.575,5.0,-2.1550018787384
PRT,0.7211463451385502,4.8872570305011,0.18642053276450482,16.433698669027,31.6132838211011,50.54610842528191,0.9796011447906492,7.1147115711238,3.6999999999999997,7.0200000000000005,10.9687747304575,62.7,82.427,12.0,45.7832834230478,26.5311256673779,88.7410407037342,1.3451872223694,84.2154832216232,6.0,6.0,0.8220691680908201,1.1566805839538603,65.5669578738445,-8.40195847745383,37965.7813562092,100.0,91.9,73.63125,70.2166666666667,100.0,1.2553001642227202
PRY,-0.8578881025314329,2.40998045807585,1.6978723897783,14.844430793554102,32.5117664609561,41.5413985554251,-0.565207660198212,5.148321537493579,0.25,16.21,1.11280414855145,45.1333333333333,73.8335723678198,12.0,28.0533623100625,21.8266894279604,30.0337469162151,0.676602264012642,29.2460349980363,6.0,6.0,-0.13966229557991006,-0.42782652378082303,48.1546300468662,-3.071882088373841,10923.7659148976,70.0,61.5666666666667,82.51875,49.25,64.99999999999999,0.04624617472290978
QAT,0.7549167871475219,5.558124044540115,0.8585962476980095,12.712846766930141,67.88118159054798,44.764048835440796,0.8670676350593572,7.11180465191852,0.0,5.790000000000001,11.2113456725535,57.71666666666669,88.02,12.0,73.9952234069962,50.0969262739607,56.7552088165743,20.4790421806307,62.7457980418477,6.0,6.0,0.841679334640503,0.9806746244430539,52.7439894379996,-2.939531340238839,66557.3562073689,80.0,64.5333333333333,56.53125,55.25,25.0,-1.28702902793884
ROU,-0.09859978407621386,3.8332421415399995,0.9523363126847932,23.218474353263897,162.669838337944,35.9246448205512,-0.2869444489479061,11.9370424850698,3.3400000000000003,7.690000000000001,25.8463385271489,71.9416666666667,82.15,11.0,64.1314177211973,39.8324033280322,86.0247778834129,1.48544935110129,81.6983533399862,5.0,6.0,0.34621754288673395,0.3686899244785309,59.918608618411994,-1.7573423206548893,26214.7957842189,100.0,91.0666666666666,69.28125,71.9416666666667,89.99999999999999,0.5851182341575623
RUS,-0.930568337440491,8.16184118410632,2.0446264624033796,8.84612906451113,118.639499015704,46.9104462021597,-0.11108873784542099,9.19363897787208,0.51,10.37,12.3772632232118,65.1416666666667,66.775,11.0,28.2787724529995,32.7576896797991,55.7805262508613,16.3971613835825,51.9196650901201,4.0,7.0,-0.4838470220565801,-0.80521035194397,56.372942902577705,-2.1592334787263883,17106.4288501956,83.4,85.8333333333333,66.6,63.4416666666667,89.99999999999999,-1.07110822200775
RWA,0.5278365612030033,4.3246107437271,3.3057668829594795,20.534403063466105,113.202975744302,43.71322586959969,0.2737752795219419,7.55938643936416,0.58,5.080000000000001,3.9908099785118694,53.6583333333333,77.841,13.0,8.12121700654523,6.87843616371411,48.2097914981379,1.04814158415726,25.6122613734145,6.0,7.0,-0.00035997480154011785,0.07577612251043304,46.5785096073841,-5.541365811271869,3762.26832861958,90.0,73.6333333333333,73.90625,41.1583333333333,50.0,-1.09181523323059
SAU,0.241704508662224,2.18290550467845,1.4659685792299095,18.7272345898783,43.7801555620133,18.846207465295,0.11361811310052877,0.605067588286761,0.28,7.97,14.3184819266742,77.725,77.412,12.0,60.0874237891453,33.4172558067717,51.7506754927843,24.069175114573703,58.33934478160211,6.0,6.0,0.2494014799594881,0.21545067429542478,54.5874963582755,-2.3712644671474985,39372.1920920686,70.0,81.3666666666667,55.89375,69.3916666666667,60.0,-1.60906326770782
